date,draw_id,n1,n2,n3,n4,n5,n6
2000-05-03,SYN-0124,14,30,34,36,37,44
2000-05-04,SYN-0125,4,9,11,21,30,36
2000-05-05,SYN-0126,5,8,16,17,22,24
2000-05-06,SYN-0127,10,27,36,43,44,46
2000-05-07,SYN-0128,6,7,19,23,30,42
2000-05-08,SYN-0129,9,16,19,20,24,41
2000-05-09,SYN-0130,2,11,16,17,36,45
2000-05-10,SYN-0131,8,14,31,41,43,46
2000-05-11,SYN-0132,1,10,38,40,41,48
2000-05-12,SYN-0133,4,12,13,15,32,48
2000-05-13,SYN-0134,2,4,6,16,27,44
2000-05-14,SYN-0135,6,12,40,41,43,49
2000-05-15,SYN-0136,4,16,17,23,26,30
2000-05-16,SYN-0137,9,12,13,14,37,40
2000-05-17,SYN-0138,6,19,20,21,32,44
2000-05-18,SYN-0139,2,14,31,41,43,48
2000-05-19,SYN-0140,2,6,11,21,45,49
2000-05-20,SYN-0141,9,20,34,35,40,42
2000-05-21,SYN-0142,3,17,26,27,32,33
2000-05-22,SYN-0143,24,31,34,45,47,49
2000-05-23,SYN-0144,9,20,27,29,33,44
2000-05-24,SYN-0145,16,19,23,24,28,34
2000-05-25,SYN-0146,7,12,13,21,34,35
2000-05-26,SYN-0147,18,22,23,33,37,43
2000-05-27,SYN-0148,17,23,24,27,30,48
2000-05-28,SYN-0149,1,19,20,25,36,39
2000-05-29,SYN-0150,6,12,29,39,46,49
2000-05-30,SYN-0151,1,14,27,40,41,43
2000-05-31,SYN-0152,3,4,22,25,26,35
2000-06-01,SYN-0153,6,9,15,31,37,43
2000-06-02,SYN-0154,7,14,18,28,33,49
2000-06-03,SYN-0155,4,15,17,42,46,48
2000-06-04,SYN-0156,13,22,32,34,39,41
2000-06-05,SYN-0157,2,9,13,36,39,47
2000-06-06,SYN-0158,5,17,20,38,42,48
2000-06-07,SYN-0159,17,29,32,37,38,42
2000-06-08,SYN-0160,3,21,23,25,28,35
2000-06-09,SYN-0161,7,14,24,31,34,46
2000-06-10,SYN-0162,7,13,23,25,33,36
2000-06-11,SYN-0163,24,27,28,32,43,45
2000-06-12,SYN-0164,4,15,34,38,41,45
2000-06-13,SYN-0165,1,8,14,25,44,49
2000-06-14,SYN-0166,5,9,14,20,21,42
2000-06-15,SYN-0167,8,15,18,26,44,46
2000-06-16,SYN-0168,6,10,11,14,16,35
2000-06-17,SYN-0169,1,5,17,20,21,29
2000-06-18,SYN-0170,7,16,37,39,41,48
2000-06-19,SYN-0171,6,9,26,29,34,41
2000-06-20,SYN-0172,3,10,11,15,30,33
2000-06-21,SYN-0173,1,8,15,27,29,49
2000-06-22,SYN-0174,2,3,12,30,41,45
2000-06-23,SYN-0175,4,13,21,37,40,41
2000-06-24,SYN-0176,9,38,42,45,47,49
2000-06-25,SYN-0177,15,22,24,25,28,49
2000-06-26,SYN-0178,7,13,15,17,28,41
2000-06-27,SYN-0179,2,12,13,21,23,29
2000-06-28,SYN-0180,9,17,20,29,39,46
2000-06-29,SYN-0181,9,12,18,35,37,44
2000-06-30,SYN-0182,10,13,18,22,27,35
2000-07-01,SYN-0183,11,18,19,20,22,31
2000-07-02,SYN-0184,7,23,24,28,47,49
2000-07-03,SYN-0185,6,13,17,20,25,44
2000-07-04,SYN-0186,8,27,34,44,47,49
2000-07-05,SYN-0187,3,4,17,20,38,40
2000-07-06,SYN-0188,7,16,19,21,34,39
2000-07-07,SYN-0189,2,12,13,29,33,34
2000-07-08,SYN-0190,5,9,13,25,26,29
2000-07-09,SYN-0191,3,13,28,37,40,44
2000-07-10,SYN-0192,3,5,15,28,46,47
2000-07-11,SYN-0193,7,18,24,30,42,48
2000-07-12,SYN-0194,2,5,15,33,42,49
2000-07-13,SYN-0195,6,10,11,16,23,27
2000-07-14,SYN-0196,13,17,21,41,42,49
2000-07-15,SYN-0197,16,26,32,40,46,48
2000-07-16,SYN-0198,13,19,33,36,45,47
2000-07-17,SYN-0199,2,11,13,22,23,43
2000-07-18,SYN-0200,19,25,31,36,43,44
2000-07-19,SYN-0201,2,4,14,28,32,41
2000-07-20,SYN-0202,26,36,37,38,42,47
2000-07-21,SYN-0203,19,25,26,36,39,47
2000-07-22,SYN-0204,12,19,24,30,39,43
2000-07-23,SYN-0205,11,15,18,24,26,38
2000-07-24,SYN-0206,1,16,27,30,31,47
2000-07-25,SYN-0207,3,4,13,24,28,48
2000-07-26,SYN-0208,13,22,27,29,37,49
2000-07-27,SYN-0209,26,27,28,30,32,37
2000-07-28,SYN-0210,2,4,11,17,35,37
2000-07-29,SYN-0211,2,18,19,21,22,42
2000-07-30,SYN-0212,8,10,17,18,25,45
2000-07-31,SYN-0213,2,3,6,9,15,21
2000-08-01,SYN-0214,16,27,28,45,47,48
2000-08-02,SYN-0215,29,30,35,38,41,48
2000-08-03,SYN-0216,8,27,28,31,33,35
2000-08-04,SYN-0217,1,5,15,16,18,39
2000-08-05,SYN-0218,2,5,17,30,31,42
2000-08-06,SYN-0219,7,9,12,43,45,46
2000-08-07,SYN-0220,14,19,21,28,40,42
2000-08-08,SYN-0221,7,9,33,34,47,48
2000-08-09,SYN-0222,3,8,16,23,24,28
2000-08-10,SYN-0223,24,34,36,40,44,46
2000-08-11,SYN-0224,13,23,28,31,42,43
2000-08-12,SYN-0225,3,19,43,46,47,48
2000-08-13,SYN-0226,3,18,33,37,39,44
2000-08-14,SYN-0227,5,15,31,36,43,45
2000-08-15,SYN-0228,7,8,10,13,20,32
2000-08-16,SYN-0229,1,26,34,44,45,46
2000-08-17,SYN-0230,3,6,13,17,25,33
2000-08-18,SYN-0231,1,11,23,24,28,36
2000-08-19,SYN-0232,4,24,30,34,36,42
2000-08-20,SYN-0233,14,37,42,44,45,47
2000-08-21,SYN-0234,13,16,27,43,45,49
2000-08-22,SYN-0235,1,6,20,40,47,48
2000-08-23,SYN-0236,14,25,34,37,40,47
2000-08-24,SYN-0237,1,13,16,23,35,38
2000-08-25,SYN-0238,13,30,31,41,43,45
2000-08-26,SYN-0239,4,5,29,30,35,42
2000-08-27,SYN-0240,11,12,19,23,24,44
